Locality,attribute,value
H/9-AM,HA,
Mid,HA,3
Meng,HA,2
LHS,HA,0
TrTr/M10,HA,0
Hog,HA,1
MFS,HA,0
BBB,PHA,0
BBA,PHA,3
FB,PHA,3
FB/HL,PHA,0
I3,PHA,17
DE/89A-L,PHA,36
DE/89A-I,PHA,20
DE/89B-L,PHA,27
DE/89B-I,PHA,245
DE/89C,PHA,9
H/6,PHA,21
H/9-A,PHA,15
H/9-AM,PHA,5
Mid,PHA,27
Meng,PHA,46
LHS,PHA,1
TrTr/M10,PHA,22
Hog,PHA,2
MFS,PHA,0
BBB,CHA,0
BBA,CHA,3
FB,CHA,1
FB/HL,CHA,0
I3,CHA,3
DE/89A-L,CHA,0
DE/89A-I,CHA,0
DE/89B-L,CHA,0
DE/89B-I,CHA,0
DE/89C,CHA,2
H/6,CHA,10
H/9-A,CHA,11
H/9-AM,CHA,5
Mid,CHA,15
Meng,CHA,29
LHS,CHA,0
TrTr/M10,CHA,3
Hog,CHA,1
MFS,CHA,0
BBB,CL,1
BBA,CL,3
FB,CL,1
FB/HL,CL,0
I3,CL,5
DE/89A-L,CL,1
DE/89A-I,CL,1
DE/89B-L,CL,34
DE/89B-I,CL,148
DE/89C,CL,6
H/6,CL,4
H/9-A,CL,18
H/9-AM,CL,2
Mid,CL,34
Meng,CL,7
LHS,CL,0
TrTr/M10,CL,19
Hog,CL,1
MFS,CL,1
BBB,KN,0
BBA,KN,0
FB,KN,0
FB/HL,KN,0
I3,KN,2
DE/89A-L,KN,4
DE/89A-I,KN,2
DE/89B-L,KN,1
DE/89B-I,KN,33
DE/89C,KN,0
H/6,KN,6
H/9-A,KN,4
H/9-AM,KN,0
Mid,KN,4
Meng,KN,1
LHS,KN,0
TrTr/M10,KN,1
Hog,KN,0
MFS,KN,0
BBB,BLCT,0
BBA,BLCT,4
FB,BLCT,1
FB/HL,BLCT,0
I3,BLCT,0
DE/89A-L,BLCT,9
DE/89A-I,BLCT,9
DE/89B-L,BLCT,6
DE/89B-I,BLCT,7
DE/89C,BLCT,4
H/6,BLCT,4
H/9-A,BLCT,9
H/9-AM,BLCT,0
Mid,BLCT,6
Meng,BLCT,12
LHS,BLCT,1
TrTr/M10,BLCT,6
Hog,BLCT,3
MFS,BLCT,0
BBB,PAT,1
BBA,PAT,0
FB,PAT,0
FB/HL,PAT,0
I3,PAT,4
DE/89A-L,PAT,2
DE/89A-I,PAT,1
DE/89B-L,PAT,1
DE/89B-I,PAT,9
DE/89C,PAT,1
H/6,PAT,1
H/9-A,PAT,0
H/9-AM,PAT,1
Mid,PAT,1
Meng,PAT,1
LHS,PAT,1
TrTr/M10,PAT,1
Hog,PAT,0
MFS,PAT,0
BBB,CH,0
BBA,CH,4
FB,CH,6
FB/HL,CH,0
I3,CH,9
DE/89A-L,CH,7
DE/89A-I,CH,0
DE/89B-L,CH,6
DE/89B-I,CH,18
DE/89C,CH,4
H/6,CH,3
H/9-A,CH,3
H/9-AM,CH,0
Mid,CH,4
Meng,CH,3
LHS,CH,2
TrTr/M10,CH,2
Hog,CH,2
MFS,CH,2
BBB,CS,0
BBA,CS,5
FB,CS,1
FB/HL,CS,0
I3,CS,1
DE/89A-L,CS,2
DE/89A-I,CS,0
DE/89B-L,CS,0
DE/89B-I,CS,3
DE/89C,CS,0
H/6,CS,0
H/9-A,CS,2
H/9-AM,CS,0
Mid,CS,0
Meng,CS,0
LHS,CS,0
TrTr/M10,CS,1
Hog,CS,0
MFS,CS,0
BBB,LFS,0
BBA,LFS,0
FB,LFS,1
FB/HL,LFS,0
I3,LFS,6
DE/89A-L,LFS,5
DE/89A-I,LFS,3
DE/89B-L,LFS,4
DE/89B-I,LFS,38
DE/89C,LFS,3
H/6,LFS,1
H/9-A,LFS,12
H/9-AM,LFS,2
Mid,LFS,5
Meng,LFS,6
LHS,LFS,0
TrTr/M10,LFS,7
Hog,LFS,0
MFS,LFS,1
BBB,CB,0
BBA,CB,2
FB,CB,5
FB/HL,CB,0
I3,CB,20
DE/89A-L,CB,4
DE/89A-I,CB,1
DE/89B-L,CB,2
DE/89B-I,CB,0
DE/89C,CB,1
H/6,CB,2
H/9-A,CB,9
H/9-AM,CB,0
Mid,CB,0
Meng,CB,6
LHS,CB,1
TrTr/M10,CB,4
Hog,CB,1
MFS,CB,0
BBB,OLT,0
BBA,OLT,0
FB,OLT,1
FB/HL,OLT,0
I3,OLT,4
DE/89A-L,OLT,2
DE/89A-I,OLT,4
DE/89B-L,OLT,3
DE/89B-I,OLT,20
DE/89C,OLT,1
H/6,OLT,3
H/9-A,OLT,16
H/9-AM,OLT,0
Mid,OLT,4
Meng,OLT,1
LHS,OLT,3
TrTr/M10,OLT,4
Hog,OLT,5
MFS,OLT,0
BBB,SSS,34
BBA,SSS,22
FB,SSS,13
FB/HL,SSS,
I3,SSS,110
DE/89A-L,SSS,78
DE/89A-I,SSS,7
DE/89B-L,SSS,6
DE/89B-I,SSS,29
DE/89C,SSS,22
H/6,SSS,10
H/9-A,SSS,85
H/9-AM,SSS,
Mid,SSS,1
Meng,SSS,24
LHS,SSS,8
TrTr/M10,SSS,58
Hog,SSS,34
MFS,SSS,5
BBB,SSNP,24
BBA,SSNP,17
FB,SSNP,20
FB/HL,SSNP,0
I3,SSNP,29
DE/89A-L,SSNP,45
DE/89A-I,SSNP,0
DE/89B-L,SSNP,1
DE/89B-I,SSNP,21
DE/89C,SSNP,19
H/6,SSNP,4
H/9-A,SSNP,23
H/9-AM,SSNP,1
Mid,SSNP,1
Meng,SSNP,9
LHS,SSNP,5
TrTr/M10,SSNP,15
Hog,SSNP,13
MFS,SSNP,9
BBB,OST,1
BBA,OST,3
FB,OST,1
FB/HL,OST,0
I3,OST,0
DE/89A-L,OST,1
DE/89A-I,OST,0
DE/89B-L,OST,3
DE/89B-I,OST,0
DE/89C,OST,0
H/6,OST,1
H/9-A,OST,0
H/9-AM,OST,0
Mid,OST,2
Meng,OST,0
LHS,OST,0
TrTr/M10,OST,1
Hog,OST,0
MFS,OST,2
BBB,SP,0
BBA,SP,2
FB,SP,1
FB/HL,SP,1
I3,SP,3
DE/89A-L,SP,1
DE/89A-I,SP,0
DE/89B-L,SP,8
DE/89B-I,SP,8
DE/89C,SP,2
H/6,SP,1
H/9-A,SP,4
H/9-AM,SP,0
Mid,SP,5
Meng,SP,0
LHS,SP,0
TrTr/M10,SP,3
Hog,SP,1
MFS,SP,0
