Catalog,L,L1,B,B1,B2,T,T1,Level
AD.258,92,24,56,32,52,34,10,Upper
AD.259,98,31,63,32,54,32,11,Upper
AD.261,127,32,71,26,68,35,15,Upper
AD.262,88,35,47,26,39,23,14,Upper
AD.264,153,41,81,38,78,39,13,Upper
AD.269,193,33,93,42,90,47,16,Upper
AD.272,149,54,75,40,72,43,15,Upper
AD.277,150,50,62,34,57,48,15,Upper
AD.280,143,49,68,40,62,35,15,Upper
AD.287,103,38,58,42,51,31,15,Upper
AD.291,118,38,57,22,42,33,11,Upper
AD.3,97,33,62,35,50,30,15,Upper
AD.30,111,68,66,54,60,36,18,Upper
AD.304,157,42,77,42,77,37,12,Upper
AD.307,109,36,79,37,75,36,18,Upper
AD.309,131,36,73,30,70,30,12,Upper
AD.31,114,34,62,34,47,32,13,Upper
AD.310,126,45,63,34,55,35,15,Upper
AD.314,123,58,74,57,60,55,21,Upper
AD.32,95,18,67,28,66,30,13,Upper
AD.320,109,36,64,38,56,32,17,Upper
AD.323,98,30,55,31,43,32,11,Upper
AD.328,117,29,62,24,55,28,11,Upper
AD.329,105,32,57,33,54,32,10,Upper
AD.331,89,28,54,25,46,35,11,Upper
AD.339,169,54,95,52,86,53,19,Upper
AD.340,138,50,98,67,87,56,35,Upper
AD.342,139,27,80,45,80,42,23,Upper
AD.343,162,55,89,53,77,45,16,Upper
AD.344,170,41,92,40,90,37,18,Upper
AD.345,133,49,78,43,74,32,21,Upper
AD.346,138,47,95,48,85,43,17,Upper
AD.347,161,45,94,49,88,49,19,Upper
AD.348,122,27,74,33,73,46,16,Upper
AD.349,135,56,75,38,65,37,19,Upper
AD.350,134,36,68,31,65,35,22,Upper
AD.351,125,55,89,63,69,44,16,Upper
AD.353,138,65,71,63,60,55,22,Upper
AD.356,121,60,83,65,66,32,16,Upper
AD.358,110,54,72,53,49,42,20,Upper
AD.361,103,50,67,54,62,33,13,Upper
AD.365,117,28,94,44,91,44,17,Upper
AD.369,82,19,53,31,52,28,12,Upper
AD.370,103,22,62,33,57,39,13,Upper
AD.371,91,52,51,45,33,32,14,Upper
AD.373,106,25,52,23,48,33,10,Upper
AD.374,179,65,88,52,81,49,22,Upper
AD.375,186,47,101,62,94,57,23,Upper
AD.376,163,75,87,65,62,46,17,Upper
AD.378,170,38,94,46,85,54,22,Upper
AD.379,151,47,74,39,70,41,13,Middle
AD.38,103,29,53,26,49,29,15,Middle
AD.380,132,46,84,51,71,38,19,Middle
AD.381,141,58,83,54,55,39,17,Middle
AD.384,132,55,87,49,68,36,16,Middle
AD.387,140,52,83,46,70,38,17,Middle
AD.388,121,34,68,38,62,37,15,Middle
AD.389,110,51,79,43,70,41,19,Middle
AD.390,110,51,40,40,57,41,14,Middle
AD.391,121,29,66,29,57,31,11,Middle
AD.392,122,38,68,36,67,36,12,Middle
AD.393,116,37,66,36,60,33,10,Middle
AD.394,120,34,70,34,66,42,16,Middle
AD.395,103,28,68,36,69,38,21,Middle
AD.398,122,34,60,28,54,32,7,Middle
AD.399,107,33,67,54,60,37,18,Middle
AD.4,112,34,67,37,67,48,16,Middle
AD.40,205,88,114,83,86,54,21,Middle
AD.401,113,19,67,30,66,24,15,Middle
AD.403,87,35,60,28,40,30,10,Middle
AD.404,90,19,50,25,47,34,15,Middle
AD.405,115,22,55,19,52,40,15,Middle
AD.406,114,28,65,31,62,39,11,Middle
AD.408,83,24,64,33,61,30,16,Middle
AD.409,96,24,51,21,49,32,11,Middle
AD.410,95,23,51,22,50,26,11,Middle
AD.411,94,24,53,29,52,32,13,Middle
AD.412,90,19,52,30,38,32,11,Middle
AD.413,96,33,46,26,32,40,11,Middle
AD.415,98,26,63,32,61,35,17,Middle
AD.416,80,33,45,29,36,27,12,Middle
AD.417,91,24,53,28,39,31,9,Middle
AD.418,80,26,49,32,41,35,14,Middle
AD.42,147,54,92,52,79,41,16,Middle
AD.420,127,33,98,68,96,51,25,Middle
AD.422,129,52,93,76,87,46,27,Middle
AD.423,203,45,89,40,86,60,16,Middle
AD.424,162,43,85,47,73,40,16,Middle
AD.425,130,41,78,51,67,41,19,Middle
AD.429,167,64,87,66,69,47,18,Middle
AD.43,136,41,76,53,69,34,16,Middle
AD.432,161,35,88,58,89,48,20,Middle
AD.433,168,46,79,55,76,50,20,Middle
AD.434,176,79,94,77,42,49,29,Middle
AD.435,136,34,79,45,76,40,12,Middle
AD.436,130,30,91,49,87,46,16,Middle
AD.437,155,41,76,36,74,43,13,Middle
AD.438,130,58,72,46,68,36,17,Middle
AD.439,131,33,96,52,91,40,22,Middle
AD.44,146,37,82,38,82,53,19,Middle
AD.442,129,57,75,60,62,41,17,Middle
AD.443,133,52,84,52,57,45,17,Middle
AD.447,126,42,78,54,64,40,22,Middle
AD.448,144,40,78,36,74,41,21,Middle
AD.449,123,31,73,37,70,50,11,Middle
AD.455,155,34,70,27,68,47,20,Middle
AD.46,160,59,85,54,79,42,18,Middle
AD.463,114,32,67,40,63,35,15,Middle
AD.466,107,44,67,36,51,28,12,Middle
AD.467,118,59,70,54,58,48,22,Middle
AD.470,99,38,79,54,64,36,17,Middle
AD.474,125,36,86,45,68,46,19,Middle
AD.487,119,41,65,29,54,35,14,Middle
AD.5,123,32,63,30,62,23,21,Middle
AD.50,161,51,83,65,74,48,23,Middle
AD.509,106,33,68,31,56,34,14,Middle
AD.516,91,44,56,46,41,39,17,Middle
AD.517,106,60,52,40,44,26,14,Middle
AD.52,128,48,70,38,60,42,13,Middle
AD.521,107,34,39,39,59,32,10,Middle
AD.53,149,48,80,34,76,46,15,Middle
AD.54,137,32,68,28,66,44,13,Middle
AD.56,102,43,66,48,50,32,24,Middle
AD.565,125,54,58,37,56,42,26,Middle
AD.567,99,37,59,27,52,22,10,Middle
AD.57,98,25,61,32,59,27,14,Middle
AD.576,113,31,68,23,61,31,12,Middle
AD.58,117,35,68,33,64,43,14,Middle
AD.584,94,30,54,21,40,27,10,Middle
AD.586,94,38,56,32,30,30,15,Middle
AD.587,121,42,53,27,40,26,10,Middle
AD.59,133,32,68,26,66,28,12,Middle
AD.592,145,38,86,35,80,46,22,Middle
AD.593,147,40,78,42,75,38,13,Middle
AD.594,138,54,77,38,57,40,20,Middle
AD.596,120,29,70,41,65,34,14,Middle
AD.600,106,17,74,29,74,27,10,Middle
AD.601,105,29,60,34,51,33,12,Middle
AD.608,106,49,68,54,47,31,16,Middle
AD.61,105,32,69,42,61,23,10,Middle
AD.612,104,40,60,29,44,42,12,Middle
AD.619,100,34,57,31,47,36,10,Middle
AD.628,96,27,39,21,36,20,7,Middle
AD.63,125,52,55,32,35,30,11,Middle
AD.632,183,53,93,48,84,47,20,Middle
AD.639,167,49,87,42,75,44,15,Middle
AD.64,132,26,62,30,57,44,20,Middle
AD.640,153,43,69,38,64,53,14,Middle
AD.642,134,44,80,41,66,47,21,Middle
AD.644,171,76,102,73,83,52,24,Middle
AD.647,156,80,86,57,70,51,21,Middle
AD.649,147,28,92,37,90,37,13,Middle
AD.65,120,25,64,26,61,32,9,Middle
AD.651,167,44,86,52,83,32,14,Middle
AD.654,145,33,73,34,68,28,11,Middle
AD.655,164,45,81,37,80,37,15,Middle
AD.656,137,22,78,31,79,30,10,Middle
AD.657,133,30,71,36,72,33,17,Middle
AD.66,117,38,66,36,63,38,9,Middle
AD.660,151,37,78,36,77,37,9,Middle
AD.661,114,41,59,38,53,26,15,Middle
AD.663,99,38,47,23,37,33,10,Middle
AD.667,153,62,90,60,76,44,18,Middle
AD.668,177,65,88,40,83,50,23,Middle
AD.670,165,35,89,45,85,33,20,Middle
AD.671,173,69,92,55,80,51,16,Middle
AD.672,138,52,84,52,75,48,17,Middle
AD.679,168,42,81,28,80,33,13,Middle
AD.680,117,60,73,65,44,34,17,Middle
AD.681,115,33,69,36,65,41,15,Middle
AD.682,127,39,70,31,66,39,14,Middle
AD.683,126,36,71,33,67,33,13,Middle
AD.686,119,38,69,40,54,40,14,Middle
AD.687,103,71,70,69,56,37,15,Middle
AD.689,115,17,58,21,55,25,11,Middle
AD.693,110,40,57,37,44,38,13,Middle
AD.697,97,31,54,31,50,29,13,Middle
AD.698,103,26,59,24,48,23,9,Middle
AD.7,86,26,62,29,45,32,14,Middle
AD.700,97,36,51,34,43,34,13,Middle
AD.701,79,36,57,46,54,34,14,Middle
AD.703,210,45,103,50,99,48,20,Middle
AD.708,208,43,89,41,85,61,25,Middle
AD.71,102,22,53,28,47,29,11,Middle
AD.710,175,51,85,40,73,46,15,Middle
AD.711,162,52,83,34,80,57,14,Middle
AD.712,167,54,83,38,63,49,19,Middle
AD.713,169,45,88,32,82,41,12,Middle
AD.714,134,32,74,29,68,39,10,Middle
AD.715,162,37,83,36,82,41,9,Middle
AD.718,180,30,93,45,93,32,16,Middle
AD.753,87,25,60,25,52,42,16,Middle
AD.755,113,29,70,33,70,39,14,Middle
AD.757,99,28,70,38,66,37,10,Middle
AD.760,119,56,64,51,60,48,17,Middle
AD.761,113,41,73,42,64,44,21,Middle
AD.767,114,25,52,22,51,36,13,Middle
AD.772,140,45,66,45,58,39,19,Middle
AD.779,170,56,87,48,77,52,16,Middle
AD.781,145,41,78,40,78,43,20,Middle
AD.783,141,58,83,50,74,33,20,Middle
AD.79,89,32,79,55,78,40,32,Middle
AD.793,151,49,97,57,95,45,21,Middle
AD.799,166,36,92,40,83,52,19,Middle
AD.8,89,31,49,32,44,34,10,Middle
AD.800,160,38,77,32,76,40,11,Middle
AD.802,131,28,73,30,72,35,16,Middle
AD.805,129,34,83,39,75,39,14,Middle
AD.809,137,27,66,25,66,37,13,Middle
AD.81,119,27,67,40,65,41,13,Middle
AD.811,113,25,50,22,47,33,11,Middle
AD.812,107,33,58,28,51,24,10,Middle
AD.814,178,53,94,42,85,42,20,Middle
AD.815,162,52,105,56,90,46,30,Middle
AD.816,166,39,99,47,97,51,18,Middle
AD.834,116,49,57,31,41,23,11,Middle
AD.84,123,75,63,49,40,42,12,Middle
AD.844,122,53,91,52,67,40,18,Middle
AD.845,110,41,69,30,63,40,13,Middle
AD.854,164,44,88,44,88,39,14,Middle
AD.86,103,19,69,38,65,40,24,Middle
AD.862,132,56,74,61,58,49,19,Middle
AD.864,144,65,73,51,62,41,23,Middle
AD.881,125,48,67,46,62,55,17,Middle
AD.886,111,40,60,42,54,31,16,Middle
AD.89,112,44,69,53,50,29,14,Middle
AD.891&875,139,70,64,64,51,40,17,Middle
AD.893,80,35,44,36,34,24,10,Middle
AD.9,79,29,48,20,43,36,10,Middle
AD.91,91,47,64,52,51,40,23,Middle
AD.92,91,24,66,48,67,25,12,Middle
AD.93,94,49,60,45,54,27,15,Middle
AD.94,97,27,59,32,53,43,17,Middle
AD795,177,36,90,40,86,48,18,Middle
AF.776,141,28,76,26,76,44,12,Middle
AF.778,157,55,100,53,89,38,19,Middle
X1,142,41,79,38,73,42,15,Middle
X10,104,43,74,45,53,23,18,Middle
X100,75,15,55,23,52,23,8,Middle
X101,106,20,73,46,68,36,20,Middle
X102,120,25,71,32,66,45,15,Middle
X103,121,48,65,34,56,42,18,Middle
X104,131,45,58,35,51,48,20,Middle
X105,192,136,109,103,97,59,23,Middle
X106,87,57,47,39,21,33,14,Middle
X107,103,45,72,47,61,40,17,Middle
X109,121,65,71,58,55,41,26,Middle
X11,163,79,77,61,52,43,22,Middle
X110,132,60,106,79,98,61,23,Middle
X111,133,74,79,68,45,50,25,Middle
X112,125,51,79,59,77,32,18,Lower
X113,117,40,74,43,58,42,19,Lower
X114,124,41,69,42,65,49,23,Lower
X115,146,49,69,57,61,47,21,Lower
X116,125,80,77,67,49,35,19,Lower
X117,136,30,93,33,92,31,18,Lower
X118,111,33,61,26,56,38,12,Lower
X119,117,44,73,47,69,38,21,Lower
X12,138,55,75,51,52,48,19,Lower
X120,126,33,86,44,74,32,17,Lower
X121,127,45,59,35,51,37,20,Lower
X122,169,71,92,65,72,52,17,Lower
X123,125,37,84,43,75,38,15,Lower
X125,83,29,47,21,39,23,10,Lower
X127,125,41,75,35,66,48,24,Lower
X128,93,63,64,63,49,28,17,Lower
X129,115,33,67,30,45,24,12,Lower
X13,94,33,53,28,39,29,12,Lower
X130,129,78,85,77,66,50,24,Lower
X131,130,57,81,56,46,51,22,Lower
X132,94,32,72,38,67,27,16,Lower
X133,122,53,71,57,62,31,21,Lower
X134,113,23,71,46,69,40,17,Lower
X135,130,40,70,43,54,49,19,Lower
X136,89,38,61,51,51,30,16,Lower
X137,106,44,77,50,69,34,20,Lower
X138,132,56,72,45,58,42,19,Lower
X139,132,46,99,75,92,47,22,Lower
X14,123,41,80,51,68,35,21,Lower
X141,118,69,78,66,52,36,16,Lower
X142,104,26,62,38,61,35,13,Lower
X143,120,67,73,56,62,45,19,Lower
X144,111,49,63,45,49,30,16,Lower
X145,125,31,59,28,38,35,11,Lower
X146,86,33,58,43,41,36,17,Lower
X147,107,31,73,47,66,39,20,Lower
X148,113,45,74,44,64,46,19,Lower
X149,103,39,55,45,44,33,19,Lower
X15,119,43,54,31,50,32,14,Lower
X150,101,39,63,36,49,30,14,Lower
X151,143,46,84,52,68,38,24,Lower
X152,141,75,91,67,69,44,22,Lower
X153,114,34,58,32,54,49,12,Lower
X154,102,41,65,37,48,31,15,Lower
X155,117,36,81,47,72,49,17,Lower
X156,114,60,78,74,65,48,26,Lower
X157,108,26,71,37,59,40,17,Lower
X158,116,35,77,48,71,32,16,Lower
X159,84,27,59,29,58,36,12,Lower
X16,115,33,69,42,67,40,17,Lower
X160,101,23,84,56,80,45,25,Lower
X161,101,32,59,34,54,32,13,Lower
X162,96,36,64,42,52,35,13,Lower
X163,91,26,65,44,56,34,18,Lower
X165,88,36,55,36,40,25,16,Lower
X166,86,36,45,29,34,31,13,Lower
X168,112,48,60,38,49,33,14,Lower
X169,115,41,70,44,67,35,14,Lower
X17,105,43,55,33,46,35,13,Lower
X170,108,60,74,60,38,41,22,Lower
X171,102,36,54,26,44,29,12,Lower
X172,88,36,46,25,38,36,13,Lower
X173,114,66,72,62,58,36,18,Lower
X174,89,17,81,39,74,30,14,Lower
X175,108,49,59,50,51,45,22,Lower
X176,100,26,46,36,44,38,16,Lower
X177,115,31,82,46,75,42,24,Lower
X178,96,42,46,36,37,35,15,Lower
X179,133,39,88,65,75,62,30,Lower
X18,118,33,64,33,59,44,16,Lower
X180,102,32,66,43,64,34,19,Lower
X181,84,23,46,23,37,23,12,Lower
X182,117,43,67,37,61,45,19,Lower
X183,106,42,66,49,52,47,17,Lower
X184,98,37,51,33,45,35,16,Lower
X185,95,20,67,36,59,29,13,Lower
X186,108,42,51,27,37,37,17,Lower
X187,93,45,55,42,53,42,16,Lower
X188,113,41,90,72,87,34,27,Lower
X189,146,41,77,46,70,48,21,Lower
X19,95,44,58,39,45,26,14,Lower
X190,134,57,83,60,70,39,16,Lower
X191,143,41,93,41,88,38,16,Lower
X192,123,54,81,57,73,43,18,Lower
X193,135,70,85,62,72,39,30,Lower
X194,132,45,67,40,64,32,15,Lower
X195,145,47,87,74,65,55,26,Lower
X196,115,73,78,67,58,41,27,Lower
X197,174,68,82,53,67,49,21,Lower
X198,147,35,80,51,78,45,19,Lower
X199,139,42,90,48,85,48,19,Lower
X2,119,42,76,43,72,31,15,Lower
X20,110,36,60,38,56,23,10,Lower
X201,123,48,64,37,62,52,16,Lower
X202,137,97,84,77,57,35,18,Lower
X203,112,42,69,37,65,34,21,Lower
X204,134,30,76,46,75,33,16,Lower
X205,139,20,77,36,75,39,13,Lower
X206,133,18,61,29,60,38,15,Lower
X207,143,62,87,53,81,42,28,Lower
X208,118,41,86,47,77,36,18,Lower
X209,122,47,62,40,53,47,14,Lower
X210,108,44,70,56,57,32,20,Lower
X211,122,36,73,41,63,35,14,Lower
X212,100,39,74,44,73,36,14,Lower
X213,111,43,56,29,48,45,17,Lower
X214,108,53,71,62,59,39,21,Lower
X215,105,27,70,41,72,38,19,Lower
X216,106,48,54,45,46,36,15,Lower
X217,112,64,68,46,50,36,18,Lower
X218,112,40,69,34,60,44,16,Lower
X219,112,59,59,46,44,50,20,Lower
X22,126,36,73,31,69,31,12,Lower
X220,119,36,68,40,61,46,18,Lower
X222,117,29,84,49,80,38,17,Lower
X223,142,71,82,55,71,41,22,Lower
X225,96,39,61,46,53,39,17,Lower
X226,143,56,71,42,65,50,24,Lower
X227,88,28,61,37,58,21,14,Lower
X228,89,38,57,36,49,45,20,Lower
X229,155,55,83,55,73,40,23,Lower
X23,162,33,80,48,78,45,20,Lower
X230,109,35,63,28,62,25,14,Lower
X231,98,34,71,47,62,32,23,Lower
X233,94,31,46,24,41,32,12,Lower
X234,124,43,82,45,70,43,26,Lower
X235,98,48,72,61,65,32,19,Lower
X236,104,54,72,54,39,33,16,Lower
X237,133,49,67,41,61,39,16,Lower
X238,109,46,72,58,62,56,24,Lower
X239,113,20,66,25,62,44,15,Lower
X24,139,60,89,62,76,54,16,Lower
X240,89,29,51,26,45,38,16,Lower
X241,134,50,76,49,58,48,18,Lower
X242,137,37,81,54,70,45,16,Lower
X243,145,46,86,49,78,52,17,Lower
X244,116,36,64,37,63,35,13,Lower
X245,196,101,123,76,91,52,27,Lower
X246,128,45,94,56,82,42,24,Lower
X247,129,51,81,65,76,56,18,Lower
X248,146,74,100,78,73,47,25,Lower
X249,106,47,72,52,66,28,17,Lower
X25,121,21,86,59,84,37,20,Lower
X250,137,35,66,28,63,27,12,Lower
X251,104,21,66,25,66,45,12,Lower
X252,86,19,54,26,45,24,11,Lower
X253,151,74,76,52,56,47,22,Lower
X254,117,21,53,21,43,30,13,Lower
X255,104,38,55,27,53,31,11,Lower
X256,137,56,76,56,60,49,28,Lower
X257,102,17,52,22,49,27,12,Lower
X258,94,33,59,36,55,40,16,Lower
X259,87,24,53,25,47,26,9,Lower
X26,127,31,77,37,72,34,19,Lower
X260,111,45,68,46,64,38,22,Lower
X261,124,40,79,46,70,26,19,Lower
X262,85,31,46,31,36,30,7,Lower
X263,100,42,77,50,66,38,16,Lower
X264,103,30,81,53,80,35,20,Lower
X265,129,23,64,30,64,50,14,Lower
X266,92,20,52,29,51,30,12,Lower
X267,109,29,45,45,63,41,16,Lower
X268,105,45,34,34,45,35,14,Lower
X269,134,52,80,51,65,44,18,Lower
X27,130,29,91,54,86,35,22,Lower
X270,104,28,72,34,72,40,15,Lower
X271,97,35,73,42,70,35,15,Lower
X272,134,31,68,32,66,48,12,Lower
X273,138,33,76,39,73,41,18,Lower
X274,142,64,77,54,49,51,26,Lower
X275,106,40,59,28,53,37,17,Lower
X276,82,30,52,40,50,32,12,Lower
X277,93,25,64,30,65,30,8,Lower
X278,100,57,59,53,50,43,16,Lower
X279,112,32,53,40,49,35,15,Lower
X28,143,45,84,37,67,30,14,Lower
X280,107,38,75,43,60,37,16,Lower
X281,132,57,85,50,55,42,16,Lower
X282,122,48,81,50,70,41,18,Lower
X283,122,46,74,37,70,50,21,Lower
X284,101,36,68,39,51,36,14,Lower
X285,128,41,79,38,70,46,13,Lower
X286,101,19,67,35,67,26,15,Lower
X287,84,20,43,18,42,23,8,Lower
X288,101,25,52,25,45,21,10,Lower
X289,117,35,56,37,49,38,15,Lower
X29,148,61,79,47,70,43,20,Lower
X290,99,28,53,32,50,37,11,Lower
X3,200,88,114,77,72,57,25,Lower
X30,138,59,82,46,69,32,20,Lower
X31,152,51,85,54,73,27,22,Lower
X32,121,34,77,47,77,40,26,Lower
X33,87,27,66,41,57,42,19,Lower
X34,111,46,61,48,55,30,17,Lower
X35,109,35,62,39,51,36,13,Lower
X36,135,69,79,60,70,48,17,Lower
X37,125,55,83,61,60,45,27,Lower
X38,92,20,59,36,54,31,10,Lower
X39,123,55,73,51,43,47,20,Lower
X4,122,41,59,37,54,31,14,Lower
X40,84,27,44,23,39,38,12,Lower
X41,145,51,91,47,78,39,23,Lower
X42,115,57,77,51,52,30,15,Lower
X43,92,46,69,45,49,31,14,Lower
X44,122,30,71,34,68,33,11,Lower
X45,98,48,60,38,43,42,16,Lower
X46,128,44,68,37,48,35,14,Lower
X47,104,42,59,41,33,29,11,Lower
X48,100,34,78,41,66,31,16,Lower
X49,107,32,56,26,52,22,14,Lower
X5,102,45,64,50,44,30,12,Lower
X50,91,36,47,30,40,34,11,Lower
X51,78,31,39,25,32,49,11,Lower
X52,117,51,80,57,67,33,18,Lower
X53,132,31,85,36,82,36,16,Lower
X54,131,40,80,55,75,42,15,Lower
X55,96,37,69,47,55,42,13,Lower
X56,119,34,75,37,66,31,20,Lower
X58,102,39,65,48,55,25,23,Lower
X59,136,39,73,42,71,49,22,Lower
X6,125,40,96,42,91,39,19,Lower
X60,122,52,57,43,56,40,30,Lower
X61,115,61,79,70,65,43,24,Lower
X62,119,29,62,30,57,25,14,Lower
X63,128,45,72,31,65,40,13,Lower
X64,115,32,77,39,68,42,21,Lower
X65,101,54,66,46,52,32,17,Lower
X66,102,37,64,36,56,41,14,Lower
X67,97,32,68,34,66,45,16,Lower
X68,130,56,69,36,60,36,18,Lower
X69,122,85,60,60,50,53,23,Lower
X7,122,41,78,38,70,31,18,Lower
X70,128,34,73,36,71,43,17,Lower
X71,133,80,88,71,58,47,18,Lower
X72,104,33,66,39,65,50,17,Lower
X73,112,44,69,51,61,46,17,Lower
X74,93,38,68,49,52,25,18,Lower
X76,132,39,71,42,60,31,16,Lower
X77,114,41,69,41,50,44,21,Lower
X79,106,56,65,57,43,30,17,Lower
X8,134,38,64,39,64,26,16,Lower
X80,91,30,72,47,67,37,15,Lower
X81,98,43,64,55,47,34,15,Lower
X82,111,39,83,58,62,50,20,Lower
X83,101,43,67,37,57,32,15,Lower
X84,88,42,54,40,32,43,15,Lower
X85,100,36,64,45,56,29,14,Lower
X86,117,38,63,31,54,52,13,Lower
X87,112,25,73,41,63,46,18,Lower
X88,133,56,66,55,60,49,24,Lower
X89,104,47,69,49,68,46,17,Lower
X9,108,36,57,36,51,26,18,Lower
X90,137,54,68,48,56,45,22,Lower
X91,89,44,52,32,40,31,13,Lower
X92,92,27,70,27,65,27,18,Lower
X93,98,35,58,40,48,30,12,Lower
X94,126,58,85,58,69,35,20,Lower
X95,143,60,85,59,62,40,21,Lower
X96,97,28,54,25,49,32,14,Lower
X97,92,15,50,21,50,32,11,Lower
X98,93,32,47,29,36,37,14,Lower
X99,100,28,66,34,59,40,13,Lower
